id,name,category_id,part_type,engine_model,category_spec
19434,Покрышка Шина 4.00-14 (Елочка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19435,Покрышка Шина 4.00-14 (Канавка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19436,Покрышка Шина 4.00-16 (Канавка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19437,Покрышка Шина 4.00-8 (Елочка),2,parts,,"Колёса, шины, груза"
19438,Покрышка Шина 4.50-14 (Елочка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19439,Покрышка Шина 4.50-14 (Канавка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19440,Покрышка Шина 5.00-12 (Елочка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19441,Покрышка Шина 5.00-12 (Канавка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19442,Покрышка Шина 5.00-14 (Елочка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19443,Покрышка Шина 5.00-15 (Елочка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19444,Покрышка Шина 5.00-15 (Канавка) ANTSTONE,2,parts,,"Колёса, шины, груза"
19445,Покрышка Шина 6.00-12 (Елочка) ANTSTONE,2,parts,,"Колёса, шины, груза"
12044,Двигатель дизельный LL385BT (30 л.с.),2,engines,,Двигателя дизельные
12046,Двигатель дизельный R195Т (12 л.с) с радиатором и электростартером,2,engines,,Двигателя дизельные
12047,Двигатель дизельный S1100 М (15 л.с) с электростартером (аналог дизеля ZS1100 M 15 л.с),2,engines,,Двигателя дизельные
12048,Двигатель дизельный SF 138-2 (24 л.с),2,engines,,Двигателя дизельные
12049,Двигатель дизельный TY295IT/ JD295/ JD295B (22 л.с),2,engines,,Двигателя дизельные
12050,Двигатель дизельный YD385T,2,engines,,Двигателя дизельные
12051,Двигатель дизельный ZS1100 М (15 л.с) с электростартером,2,engines,,Двигателя дизельные
12052,Двигатель дизельный ZS1110 M (20 л.с) с электростартером,2,engines,,Двигателя дизельные
12063,Дизельный двигатель ZS1100-T,2,engine-assembled,,engines-assembled
12053,Двигатель дизельный ZS1115 М (22 л.с) с электростартером,2,engines,,Двигателя дизельные
12055,Дизельный двигатель R180ANE,2,engine-assembled,,engines-assembled
12056,Дизельный двигатель R190ANE,2,engine-assembled,,engines-assembled
12057,Дизельный двигатель R195-T,2,engine-assembled,,engines-assembled
12058,Дизельный двигатель SF1115-T,2,engines,,Двигателя дизельные
12059,Дизельный двигатель SF138-2,2,engine-assembled,,engines-assembled
12060,Дизельный двигатель TY2100,2,engines,,Двигателя дизельные
12061,Дизельный двигатель TY295,2,engines,,Двигателя дизельные
12062,Дизельный двигатель XT-15,2,engines,,Двигателя дизельные
12065,Кулачок топливного насоса DLH,2,pumps,,Двигателя дизельные
12066,Воздуховод (грибок) фильтра воздушного Уралец 254,2,filters,,Фильтра
12067,Воздухозаборник (грибок) воздушного фильтра TY290/TY295,2,filters,,Фильтра
12068,Кольцо уплотнительное для фильтра тонкой очистки воздуха TY290/295,2,filters,,Фильтра
12069,Корпус воздушного фильтра Уралец (пластик),2,filters,,Фильтра
12070,Крышка масляного фильтра КМ385BT резьба М24х2,2,filters,,Фильтра
12073,Фильтр воздушный в сборе DLH1100,2,filters,,Фильтра
12074,Фильтр воздушный в сборе DLH190,2,filters,,Фильтра
12077,Фильтр воздушный в сборе TY290/TY295,2,filters,,Фильтра
12080,Фильтр воздушный – элемент бумажный КМ (под капот),2,filters,,Фильтра
12082,Фильтр воздушный элемент тонкой очистки воздуха TY290/295,2,filters,,Фильтра
12083,"Фильтр воздушный – элемент Уралец 220, 224, 2200, 2204, 250, 254 (РФ)",2,filters,,Фильтра
12085,Фильтр гидравлики гидробака РФ резьба 3/4″ трактора Уралец 220/224/2200/2204,2,filters,,Фильтра
12086,"Фильтр гидравлики гидробака РФ M20х 1,5 трактора Уралец 220/224/2200/2204",2,filters,,Фильтра
17058,Лапа окучника,2,parts,,Прочие запчасти
12093,"Фильтр гидравлики TB504.551F.4 М26х1,5 Скаут",2,filters,,Фильтра
12096,Фильтр масляный в сборе TY 290/295 J0708А,2,filters,,Фильтра
12111,Фильтр масляный JX0818A 1″-12,2,filters,,Фильтра
12101,Фильтр масляный элемент J0810 (TY295IT/JD295) (84х97х41х41),2,filters,,Фильтра
12102,"Фильтр масляный элемент J0811A Chery 244, YTO MC300",2,filters,,Фильтра
12104,Фильтр масляный JX-1023А,2,filters,,Фильтра
12107,Фильтр масляный JX07085/ JX0708/ JX7085 3/4″-16 (дизель YD385; TY2100IT / TY295IT),2,filters,,Фильтра
12113,"Фильтр масляный JX1008L М22х1,5",2,filters,,Фильтра
12114,"Фильтр масляный JX85100C М24х2 SHIFENG/Шифенг 254, Фотон 404, DF 304",2,filters,,Фильтра
12115,Фильтр масляный R180,2,filters,,Фильтра
17059,Лапа окучника,2,parts,,Прочие запчасти
12121,"Фильтр топливный грубой очистки, Отстойник Кетмен/Catmann T18; R195",2,filters,,Фильтра
12125,"Фильтр топливный СХ7085 (CX0708/CX0708S) М16х1,5 (DF 404)",2,filters,,Фильтра
12126,Фильтр топливный элемент для ременных тракторов R195 (84х29 мм),2,filters,,Фильтра
